dist, angle, rangeIR, mts, flag
7, 0, 2366165, 112893, 1
7, 1, 2312239, 112923, 1
7, 1, 2283718, 112953, 1
7, 0, 2317328, 112983, 1
7, 1, 2317792, 113013, 1
7, 1, 2595791, 113043, 1
7, 1, 2906678, 113073, 1
7, 0, 2960861, 113103, 1
7, 1, 3022599, 113133, 1
7, 1, 3127344, 113163, 1
7, 1, 3222491, 113193, 1
7, 0, 3268584, 113224, 1
7, 1, 3331831, 113254, 1
7, 1, 3414962, 113284, 1
7, 1, 3526752, 113314, 1
7, 0, 3619084, 113344, 1
7, 1, 3634340, 113374, 1
7, 1, 3668234, 113404, 1
7, 1, 3729188, 113434, 1
8, 0, 3768144, 113464, 1
6, 1, 3838054, 113494, 1
7, 1, 3929608, 113524, 1
7, 1, 3981879, 113554, 1
7, 0, 4012403, 113584, 1
7, 1, 4055515, 113615, 1
7, 1, 4088694, 113645, 1
8, 1, 4090056, 113675, 1
6, 0, 4087713, 113705, 1
7, 1, 4117157, 113735, 1
7, 1, 4180792, 113765, 1
7, 1, 4180792, 113795, 1
8, 1, 4213389, 113825, 1
6, 0, 4212522, 113855, 1
8, 1, 4244136, 113885, 1
7, 1, 4279586, 113915, 1
6, 1, 4279221, 113945, 1
8, 0, 4275900, 113975, 1
6, 1, 4307298, 114006, 1
7, 1, 4366194, 114036, 1
7, 1, 4393376, 114066, 1
7, 0, 4365749, 114096, 1
7, 1, 4308605, 114126, 1
7, 1, 4279817, 114156, 1
8, 1, 4277823, 114186, 1
7, 0, 4275370, 114216, 1
7, 1, 4308541, 114246, 1
7, 1, 4309267, 114276, 1
7, 0, 4244154, 114306, 1
7, 1, 4212243, 114336, 1
7, 1, 4215154, 114366, 1
7, 1, 4202612, 114396, 1
7, 0, 4167571, 114427, 1
7, 1, 4147907, 114457, 1
7, 1, 4151638, 114487, 1
6, 1, 4143050, 114517, 1
8, 1, 4109147, 114547, 1
7, 0, 4086430, 114577, 1
6, 1, 4062057, 114607, 1
7, 1, 4031043, 114637, 1
7, 0, 4023660, 114667, 1
7, 1, 4024436, 114697, 1
7, 1, 4002876, 114727, 1
7, 1, 3970304, 114758, 1
7, 0, 3960539, 114788, 1
7, 1, 3930865, 114818, 1
8, 1, 3901758, 114848, 1
6, 1, 3899208, 114878, 1
4, 0, 3896464, 114893, 1
7, 0, 3868750, 114923, 1
7, 1, 3840197, 114953, 1
7, 1, 3837111, 114983, 1
7, 1, 3804925, 115013, 1
7, 0, 3776929, 115043, 1
7, 1, 3729213, 115073, 1
7, 1, 3500126, 115104, 1
7, 1, 3477948, 115134, 1
7, 1, 3638321, 115164, 1
7, 0, 3630168, 115194, 1
7, 1, 3595570, 115224, 1
7, 1, 3572894, 115254, 1
7, 0, 3743196, 115284, 1
7, 1, 3918421, 115314, 1
7, 1, 3685363, 115344, 1
7, 1, 3415154, 115374, 1
7, 0, 3385704, 115404, 1
7, 1, 3381241, 115434, 1
7, 1, 3346908, 115464, 1
7, 1, 3289027, 115495, 1
7, 0, 3260010, 115525, 1
7, 1, 3256549, 115555, 1
7, 1, 3222475, 115585, 1
7, 1, 3161986, 115615, 1
7, 0, 3114334, 115645, 1
7, 1, 3080781, 115675, 1
7, 1, 3064227, 115705, 1
7, 1, 3035935, 115735, 1
7, 0, 2992901, 115765, 1
7, 1, 2957147, 115795, 1
7, 1, 2905420, 115825, 1
7, 1, 2906545, 115855, 1
7, 0, 2938366, 115886, 1
7, 1, 2938366, 115916, 1
7, 1, 2937458, 115946, 1
7, 1, 2905986, 115976, 1
7, 0, 2739090, 116006, 1
7, 1, 2522016, 116036, 1
7, 1, 2594383, 116066, 1
7, 0, 2748935, 116096, 1
7, 1, 2734377, 116126, 1
7, 1, 2706924, 116156, 1
7, 1, 2665486, 116186, 1
7, 0, 2636937, 116216, 1
7, 1, 2618699, 116246, 1
7, 1, 2586615, 116276, 1
7, 1, 2604808, 116307, 1
7, 1, 2877862, 116337, 1
7, 0, 3055117, 116367, 1
7, 1, 2748475, 116397, 1
7, 1, 2507044, 116427, 1
7, 1, 2373068, 116457, 1
7, 0, 2313199, 116487, 1
7, 1, 2544236, 116517, 1
7, 1, 2668705, 116547, 1
7, 1, 2609418, 116577, 1
7, 0, 2562998, 116607, 1
7, 1, 2491953, 116637, 1
7, 1, 2377207, 116667, 1
7, 1, 2343722, 116698, 1
7, 0, 2396604, 116728, 1
7, 1, 2527113, 116758, 1
7, 1, 2668863, 116788, 1
7, 1, 2722404, 116818, 1
7, 0, 2747097, 116848, 1
7, 1, 2781307, 116878, 1
7, 1, 2758300, 116908, 1
7, 1, 2632581, 116938, 1
7, 0, 2467179, 116968, 1
7, 1, 2375866, 116998, 1
7, 1, 2442109, 117028, 1
7, 1, 2468542, 117058, 1
7, 0, 2372268, 117089, 1
7, 1, 2443721, 117119, 1
7, 1, 2636296, 117149, 1
7, 1, 2690302, 117179, 1
7, 0, 2657035, 117209, 1
7, 1, 2691235, 117239, 1
7, 1, 2612726, 117269, 1
7, 0, 2452774, 117299, 1
7, 1, 2499990, 117329, 1
7, 1, 2604118, 117359, 1
7, 1, 2686330, 117389, 1
7, 1, 2731990, 117419, 1
7, 0, 2649815, 117449, 1
7, 1, 2754549, 117480, 1
7, 1, 2939534, 117510, 1
7, 1, 2941926, 117540, 1
7, 0, 2971310, 117570, 1
7, 1, 3001787, 117600, 1
7, 1, 2953232, 117630, 1
7, 1, 2863362, 117660, 1
7, 1, 3007063, 117690, 1
7, 0, 3131769, 117720, 1
7, 1, 3069743, 117750, 1
7, 1, 3064418, 117780, 1
7, 0, 2937382, 117810, 1
7, 1, 2934673, 117840, 1
7, 1, 3083903, 117871, 1
7, 1, 3151212, 117901, 1
7, 0, 3223943, 117931, 1
7, 1, 3155896, 117961, 1
7, 1, 3015630, 117991, 1
7, 1, 2924967, 118021, 1
7, 1, 2906149, 118051, 1
7, 0, 3020201, 118081, 1
7, 1, 3114765, 118111, 1
7, 1, 3126661, 118141, 1
7, 1, 3128027, 118171, 1
7, 0, 3070909, 118201, 1
7, 1, 2974484, 118231, 1
7, 1, 2937887, 118261, 1
7, 0, 3002683, 118292, 1
7, 1, 3049080, 118322, 1
7, 1, 3015543, 118352, 1
7, 1, 2969657, 118382, 1
7, 1, 2910224, 118412, 1
7, 0, 2894806, 118442, 1
7, 1, 2922959, 118472, 1
7, 1, 2906507, 118502, 1
7, 0, 2907973, 118532, 1
7, 1, 2940028, 118562, 1
7, 1, 2938669, 118592, 1
7, 1, 2875624, 118622, 1
7, 1, 2787424, 118653, 1
7, 0, 2755734, 118683, 1
7, 1, 2750415, 118713, 1
7, 1, 2631976, 118743, 1
7, 0, 2567404, 118773, 1
7, 1, 2622275, 118803, 1
7, 1, 2565719, 118833, 1
7, 1, 2477572, 118863, 1
7, 0, 2424684, 118893, 1
7, 1, 2388544, 118923, 1
7, 1, 2344705, 118953, 1
7, 1, 2253587, 118983, 1
7, 0, 2229977, 119013, 1
7, 1, 2289313, 119043, 1
7, 1, 2280770, 119074, 1
7, 1, 2220771, 119104, 1
7, 0, 2174152, 119134, 1
7, 1, 2137789, 119164, 1
7, 1, 2151336, 119194, 1
7, 1, 2186630, 119224, 1
7, 0, 2176322, 119254, 1
7, 1, 2140528, 119284, 1
7, 1, 2118154, 119314, 1
7, 1, 2121322, 119344, 1
7, 0, 2114125, 119374, 1
7, 1, 2078945, 119404, 1
7, 1, 2022646, 119434, 1
7, 1, 2204023, 119465, 1
7, 0, 2449319, 119495, 1
7, 1, 2269024, 119525, 1
7, 1, 2055970, 119555, 1
7, 1, 1986804, 119585, 1
7, 0, 1862677, 119615, 1
7, 1, 1898269, 119645, 1
7, 1, 1739454, 119675, 1
7, 1, 1248743, 119705, 1
7, 1, 1004023, 119735, 1
7, 0, 1032660, 119765, 1
7, 1, 1255429, 119795, 1
7, 1, 1654596, 119825, 1
7, 0, 2119788, 119856, 1
7, 1, 2474264, 119886, 1
7, 1, 2603879, 119916, 1
7, 1, 2654631, 119946, 1
7, 0, 2710020, 119976, 1
7, 1, 2660225, 120006, 1
7, 1, 2660225, 120036, 1
7, 1, 2653278, 120066, 1
7, 0, 2784283, 120096, 1
7, 1, 3012589, 120126, 1
7, 1, 3158631, 120156, 1
7, 1, 3181486, 120186, 1
7, 0, 3249037, 120216, 1
7, 1, 3290148, 120246, 1
7, 1, 3319428, 120277, 1
7, 1, 3250616, 120307, 1
7, 0, 3130976, 120337, 1
7, 1, 3231160, 120367, 1
7, 1, 3290794, 120397, 1
7, 1, 3338313, 120427, 1
7, 0, 3586117, 120457, 1
7, 1, 3665691, 120487, 1
7, 1, 3607069, 120517, 1
7, 0, 3632428, 120547, 1
7, 1, 3759427, 120577, 1
7, 1, 3766451, 120607, 1
7, 1, 3525299, 120637, 1
7, 1, 3241042, 120668, 1
7, 0, 2971253, 120698, 1
7, 1, 3291543, 120728, 1
7, 1, 3855819, 120758, 1
3, 0, 3937118, 120773, 1
7, 0, 3853900, 120803, 1
7, 1, 3805602, 120833, 1
7, 1, 3718496, 120863, 1
8, 1, 3479979, 120893, 1
6, 1, 2885132, 120923, 1
7, 0, 1998070, 120953, 1
7, 1, 1492160, 120983, 1
7, 1, 1438671, 121014, 1
7, 0, 2301848, 121044, 1
7, 1, 3535486, 121074, 1
7, 1, 3955571, 121104, 1
7, 1, 3963983, 121134, 1
7, 0, 4056200, 121164, 1
7, 1, 4063296, 121194, 1
7, 1, 3924522, 121224, 1
7, 1, 3723150, 121254, 1
7, 0, 3736645, 121284, 1
7, 1, 3959276, 121314, 1
7, 1, 4006920, 121344, 1
7, 1, 3945825, 121374, 1
7, 1, 3930016, 121405, 1
7, 0, 3936948, 121435, 1
7, 1, 3895458, 121465, 1
8, 1, 3826747, 121495, 1
6, 0, 3805738, 121525, 1
8, 1, 3815166, 121555, 1
6, 1, 3780504, 121585, 1
8, 1, 3733851, 121615, 1
7, 1, 3701593, 121645, 1
6, 0, 3682611, 121675, 1
7, 1, 3646107, 121705, 1
7, 1, 3569659, 121735, 1
7, 0, 3510937, 121765, 1
7, 1, 3512552, 121796, 1
7, 1, 3509676, 121826, 1
7, 1, 3476229, 121856, 1
7, 1, 3478558, 121886, 1
7, 0, 3498691, 121916, 1
7, 1, 3464999, 121946, 1
7, 1, 3412911, 121976, 1
7, 0, 3384683, 122006, 1
7, 1, 3361087, 122036, 1
7, 1, 3230243, 122066, 1
7, 1, 3230243, 122096, 1
7, 1, 3159076, 122126, 1
7, 0, 3222709, 122156, 1
7, 0, 3107506, 122277, 1
7, 1, 3070926, 122307, 1
7, 1, 3029348, 122337, 1
7, 0, 2939453, 122367, 1
7, 1, 2857558, 122397, 1
7, 1, 2823819, 122427, 1
7, 1, 2810630, 122457, 1
7, 0, 2843391, 122487, 1
7, 1, 2845832, 122517, 1
7, 1, 2781807, 122547, 1
8, 1, 2748145, 122578, 1
6, 0, 2618891, 122608, 1
7, 1, 2527232, 122638, 1
7, 1, 2655780, 122668, 1
7, 0, 2724348, 122698, 1
8, 1, 2674566, 122728, 1
6, 1, 2641888, 122758, 1
8, 1, 2636040, 122788, 1
6, 1, 2572107, 122818, 1
8, 0, 2510860, 122848, 1
6, 1, 2509962, 122878, 1
8, 1, 2507129, 122908, 1
6, 1, 2507930, 122938, 1
8, 0, 2485921, 122968, 1
7, 1, 2448944, 122999, 1
7, 1, 2405256, 123029, 1
7, 1, 2346118, 123059, 1
6, 1, 2263731, 123089, 1
7, 0, 2169584, 123119, 1
7, 1, 2252286, 123149, 1
7, 1, 2347895, 123179, 1
7, 1, 2351783, 123209, 1
7, 0, 2413178, 123239, 1
7, 1, 2506865, 123269, 1
7, 1, 2604730, 123299, 1
7, 1, 2659204, 123329, 1
7, 0, 2714233, 123359, 1
7, 1, 2810594, 123390, 1
7, 1, 2904788, 123420, 1
7, 1, 2945479, 123450, 1
7, 0, 2977231, 123480, 1
7, 1, 3032541, 123510, 1
7, 1, 3094296, 123540, 1
7, 1, 3129599, 123570, 1
7, 0, 3163278, 123600, 1
7, 1, 3223914, 123630, 1
7, 1, 3282502, 123660, 1
7, 1, 3315855, 123690, 1
7, 0, 3352337, 123720, 1
7, 1, 3413951, 123750, 1
7, 1, 3468314, 123781, 1
7, 1, 3501232, 123811, 1
7, 0, 3573846, 123841, 1
7, 1, 3606283, 123871, 1
7, 1, 3592286, 123901, 1
7, 1, 3621034, 123931, 1
7, 0, 3667290, 123961, 1
8, 1, 3702187, 123991, 1
6, 1, 3716635, 124021, 1
7, 1, 3750247, 124051, 1
7, 0, 3773258, 124081, 1
7, 1, 3805398, 124111, 1
7, 1, 3836528, 124141, 1
8, 1, 3836029, 124171, 1
6, 0, 3836742, 124202, 1
7, 1, 3840207, 124232, 1
7, 1, 3847588, 124262, 1
7, 1, 3906579, 124292, 1
8, 0, 3899730, 124322, 1
6, 1, 3840534, 124352, 1
8, 1, 3839137, 124382, 1
6, 1, 3835956, 124412, 1
8, 0, 3837789, 124442, 1
6, 1, 3840618, 124472, 1
7, 1, 3838052, 124502, 1
7, 1, 3835512, 124532, 1
8, 0, 3809035, 124563, 1
7, 1, 3779802, 124593, 1
7, 1, 3775275, 124623, 1
7, 1, 3773785, 124653, 1
7, 0, 3777735, 124683, 1
7, 1, 3789730, 124713, 1
7, 1, 3817103, 124743, 1
7, 1, 3768417, 124773, 1
7, 0, 3703575, 124803, 1
7, 1, 3696366, 124833, 1
7, 1, 3661043, 124863, 1
7, 1, 3636228, 124893, 1
7, 0, 3639507, 124923, 1
7, 1, 3634611, 124953, 1
7, 1, 3600403, 124983, 1
7, 1, 3574557, 125013, 1
7, 0, 3554071, 125044, 1
7, 1, 3521900, 125074, 1
7, 1, 3510409, 125104, 1
7, 1, 3479758, 125134, 1
6, 0, 3450335, 125164, 1
7, 1, 3447159, 125194, 1
7, 1, 3413717, 125224, 1
8, 0, 3384939, 125254, 1
6, 1, 3371229, 125284, 1
8, 1, 3337272, 125314, 1
6, 1, 3319530, 125344, 1
8, 1, 3293024, 125374, 1
6, 0, 3251081, 125404, 1
8, 1, 3214200, 125435, 1
6, 1, 3192405, 125465, 1
8, 0, 3166736, 125495, 1
6, 1, 3134365, 125525, 1
8, 1, 3128376, 125555, 1
7, 1, 3098999, 125585, 1
7, 1, 3252054, 125615, 1
6, 0, 3458624, 125645, 1
7, 1, 3243291, 125675, 1
7, 1, 2972207, 125705, 1
7, 1, 2919009, 125735, 1
7, 0, 2885573, 125765, 1
8, 1, 2873731, 125795, 1
6, 1, 2844562, 125826, 1
7, 1, 2815369, 125856, 1
7, 0, 2812224, 125886, 1
7, 1, 2779071, 125916, 1
8, 1, 2728630, 125946, 1
6, 0, 2791982, 125976, 1
8, 1, 2969812, 126006, 1
7, 1, 2852998, 126036, 1
7, 1, 2813521, 126066, 1
7, 0, 2956789, 126096, 1
7, 1, 2750208, 126126, 1
7, 1, 2540029, 126156, 1
7, 1, 2540029, 126186, 1
7, 0, 2510535, 126216, 1
7, 1, 2503191, 126247, 1
7, 1, 2467070, 126277, 1
7, 1, 2441359, 126307, 1
7, 0, 2418513, 126337, 1
7, 1, 2386171, 126367, 1
7, 1, 2377007, 126397, 1
7, 1, 2346022, 126427, 1
6, 0, 2293976, 126457, 1
7, 1, 2260337, 126487, 1
7, 1, 2248570, 126517, 1
7, 1, 2620618, 126547, 1
7, 0, 2963275, 126578, 1
7, 1, 2905249, 126607, 1
7, 1, 2938648, 126638, 1
7, 1, 3002539, 126668, 1
7, 0, 3018334, 126698, 1
4, 0, 3049013, 126713, 1
7, 1, 3192368, 126743, 1
7, 1, 3211302, 126773, 1
7, 1, 3175181, 126803, 1
7, 0, 3440976, 126833, 1
7, 1, 3636105, 126863, 1
7, 1, 3639560, 126893, 1
7, 0, 3645640, 126923, 1
7, 1, 3674480, 126953, 1
7, 1, 3768923, 126984, 1
7, 1, 3839922, 127014, 1
7, 0, 3845743, 127044, 1
7, 1, 3905245, 127074, 1
7, 1, 4023875, 127104, 1
7, 1, 4089878, 127134, 1
7, 1, 4088952, 127164, 1
7, 1, 4086314, 127194, 1
7, 0, 4119189, 127224, 1
7, 1, 4290389, 127254, 1
7, 1, 4537824, 127284, 1
7, 0, 4399979, 127314, 1
7, 1, 4184691, 127344, 1
7, 1, 4229333, 127375, 1
7, 1, 4259484, 127405, 1
