dist, angle, rangeIR, mts, flag
26, 3, 2422717, 57410, 1
25, 3, 2771362, 57515, 1
21, 2, 2940450, 57605, 1
26, 3, 3090810, 57711, 1
25, 3, 3445033, 58012, 1
26, 3, 3603758, 58117, 1
20, 3, 3744708, 58207, 1
26, 3, 1368518, 58312, 1
26, 3, 1084562, 58613, 1
21, 2, 400595, 58703, 1
25, 3, 2809732, 58809, 1
26, 3, 2904858, 58914, 1
21, 2, 2835254, 59004, 1
25, 3, 2776346, 59109, 1
26, 3, 2779420, 59215, 1
21, 2, 2843088, 59305, 1
25, 3, 2841582, 59410, 1
26, 3, 2725055, 59515, 1
21, 2, 2635887, 59606, 1
25, 3, 2574949, 59711, 1
26, 3, 2463927, 59816, 1
21, 2, 2380558, 59906, 1
25, 3, 2314938, 60012, 1
26, 3, 2220201, 60117, 1
21, 2, 2182448, 60207, 1
25, 3, 2142930, 60312, 1
26, 3, 2116467, 60418, 1
21, 2, 1942275, 60508, 1
25, 3, 897473, 60613, 1
21, 3, 743382, 60704, 1
26, 3, 1283127, 60809, 1
25, 3, 2018905, 60914, 1
21, 2, 2222029, 61004, 1
26, 3, 2441298, 61110, 1
25, 3, 2574000, 61215, 1
21, 2, 2594047, 61305, 1
26, 3, 2726029, 61410, 1
26, 3, 2813643, 61516, 1
20, 2, 3001295, 61606, 1
26, 3, 2873395, 61711, 1
25, 3, 2936422, 61816, 1
21, 3, 2938624, 61907, 1
26, 3, 2941045, 62012, 1
25, 3, 2991296, 62117, 1
22, 2, 2940244, 62207, 1
25, 3, 2937220, 62313, 1
25, 3, 2906089, 62418, 1
21, 2, 2991907, 62508, 1
26, 3, 2812703, 62613, 1
21, 2, 2797905, 62704, 1
25, 3, 2743690, 62809, 1
26, 3, 2675069, 62914, 1
21, 3, 2636322, 63004, 1
25, 3, 2572621, 63110, 1
26, 3, 2506542, 63215, 1
21, 2, 2443652, 63305, 1
26, 3, 2364386, 63410, 1
25, 3, 2304889, 63516, 1
21, 3, 2221784, 63606, 1
25, 3, 2248529, 63711, 1
26, 3, 2085538, 63816, 1
21, 2, 2487138, 63907, 1
25, 3, 2815587, 64012, 1
26, 3, 3176713, 64117, 1
21, 3, 3405671, 64207, 1
25, 3, 3666916, 64313, 1
21, 2, 3866392, 64403, 1
26, 3, 4117721, 64508, 1
25, 3, 4177918, 64614, 1
21, 3, 4265468, 64704, 1
26, 3, 4385604, 64809, 1
25, 3, 4456445, 64914, 1
22, 2, 4404087, 65004, 1
25, 3, 4404025, 65110, 1
25, 3, 4339389, 65215, 1
21, 3, 4305073, 65305, 1
26, 3, 4278374, 65410, 1
26, 3, 4231014, 65516, 1
20, 2, 4154259, 65606, 1
26, 3, 4090190, 65711, 1
26, 3, 4002558, 65817, 1
20, 2, 3930963, 65907, 1
26, 3, 3835397, 66012, 1
26, 3, 3736315, 66117, 1
21, 2, 3591226, 66207, 1
25, 3, 3514612, 66313, 1
21, 2, 3583845, 66403, 1
25, 3, 3297944, 66508, 1
26, 3, 3160257, 66614, 1
21, 2, 3030556, 66704, 1
25, 3, 3000493, 66809, 1
26, 3, 2892273, 66914, 1
21, 2, 2816377, 67005, 1
26, 3, 2755254, 67110, 1
25, 3, 2640480, 67215, 1
21, 2, 2636879, 67305, 1
26, 3, 2747816, 67411, 1
25, 3, 2603110, 67516, 1
21, 2, 2443317, 67606, 1
25, 3, 2755043, 67711, 1
26, 3, 2800737, 67817, 1
21, 2, 2751850, 67907, 1
26, 3, 2842902, 68012, 1
25, 3, 2812797, 68117, 1
21, 2, 3095232, 68208, 1
25, 3, 2915069, 68313, 1
22, 3, 3082216, 68403, 1
25, 3, 3172377, 68508, 1
25, 3, 3337596, 68614, 1
21, 2, 3288768, 68704, 1
26, 3, 3321803, 68809, 1
25, 3, 3318691, 68914, 1
21, 3, 3300894, 69005, 1
26, 3, 3256033, 69110, 1
26, 3, 3258684, 69215, 1
21, 2, 3031607, 69305, 1
25, 3, 3017004, 69411, 1
26, 3, 3002992, 69516, 1
21, 2, 2968230, 69606, 1
25, 3, 2852526, 69711, 1
26, 3, 2719166, 69817, 1
