dist, angle, rangeIR, mts, flag
3, 0, 4404286, 168023, 1
8, 1, 4402503, 168053, 1
6, 0, 4400135, 168083, 1
8, 1, 4433215, 168113, 1
6, 1, 4481441, 168143, 1
8, 1, 4510596, 168173, 1
7, 1, 4494398, 168203, 1
7, 0, 4330786, 168234, 1
6, 1, 4218051, 168264, 1
8, 1, 4319131, 168294, 1
6, 1, 4400162, 168324, 1
8, 0, 4403165, 168354, 1
7, 1, 4403262, 168384, 1
7, 1, 4400038, 168414, 1
7, 0, 4593646, 168444, 1
7, 1, 4655876, 168474, 1
7, 1, 4431094, 168504, 1
7, 1, 4338442, 168534, 1
7, 1, 4308595, 168564, 1
7, 0, 4280764, 168594, 1
7, 1, 4279143, 168625, 1
7, 1, 4275976, 168655, 1
7, 0, 4246131, 168685, 1
7, 1, 4216699, 168715, 1
7, 1, 4213375, 168745, 1
7, 1, 4179296, 168775, 1
6, 0, 4151129, 168805, 1
7, 1, 4137814, 168835, 1
7, 1, 4106138, 168865, 1
7, 1, 4307909, 168895, 1
7, 0, 4353774, 168925, 1
8, 1, 4124466, 168955, 1
7, 1, 4045446, 168985, 1
7, 1, 4024280, 169016, 1
6, 1, 3999537, 169046, 1
8, 0, 3967957, 169076, 1
7, 1, 3961397, 169106, 1
7, 1, 3773121, 169136, 1
7, 1, 3692262, 169166, 1
6, 0, 3817689, 169196, 1
8, 1, 3836356, 169226, 1
6, 1, 3807105, 169256, 1
8, 1, 3751633, 169286, 1
7, 0, 3712768, 169316, 1
7, 1, 3700382, 169346, 1
7, 1, 3670126, 169376, 1
7, 0, 3639828, 169407, 1
7, 1, 3637711, 169437, 1
7, 1, 3635689, 169467, 1
7, 1, 3577182, 169497, 1
7, 1, 3500127, 169527, 1
7, 0, 3462948, 169557, 1
7, 1, 3257202, 169587, 1
7, 1, 3220747, 169617, 1
7, 1, 3366488, 169647, 1
7, 0, 3341126, 169677, 1
6, 1, 3546589, 169707, 1
7, 1, 3607705, 169737, 1
7, 1, 3342582, 169767, 1
7, 0, 3217284, 169798, 1
8, 1, 3160460, 169828, 1
7, 1, 3131436, 169858, 1
7, 1, 3130680, 169888, 1
7, 0, 3127826, 169918, 1
7, 1, 3067318, 169948, 1
7, 1, 2983487, 169978, 1
7, 1, 2942732, 170008, 1
7, 0, 2750047, 170038, 1
7, 1, 2756488, 170068, 1
7, 1, 2940494, 170098, 1
7, 1, 2939369, 170128, 1
7, 0, 2905632, 170158, 1
7, 1, 2847134, 170189, 1
7, 1, 2801865, 170219, 1
7, 1, 2767452, 170249, 1
7, 0, 2750109, 170279, 1
7, 1, 2752748, 170309, 1
7, 1, 2754236, 170339, 1
7, 0, 2751542, 170369, 1
7, 1, 2727164, 170399, 1
7, 1, 2677205, 170429, 1
7, 1, 2636666, 170459, 1
7, 0, 2598246, 170489, 1
7, 1, 2574191, 170519, 1
7, 1, 2550791, 170550, 1
7, 1, 2527968, 170580, 1
7, 1, 2583122, 170610, 1
7, 0, 2670748, 170640, 1
7, 1, 2682492, 170670, 1
7, 1, 2646047, 170700, 1
7, 0, 2602949, 170730, 1
7, 1, 2575080, 170760, 1
7, 1, 2557184, 170790, 1
7, 1, 2520981, 170820, 1
7, 1, 2440974, 170850, 1
7, 0, 2475644, 170880, 1
